# x                          U1x                         U1y                    U1z                      V1x                           V1y                  V1z                       U2x                           U2y                    U2z                        V2x                           V2y                  V2z                                               
4.970123999999999853e+01 5.043557732231486179e-01 1.058334912310094841e-03 0.000000000000000000e+00 -6.953160892139482899e-05 3.246170712175282247e-02 0.000000000000000000e+00 -1.324816142182810158e-03 6.333743203068324945e-01 0.000000000000000000e+00 -2.612610366079934354e-02 -4.757476859216948470e-05 0.000000000000000000e+00
5.169998999999999967e+01 5.713863153197243916e-01 1.201981659031599011e-03 0.000000000000000000e+00 -7.410080322454170069e-05 3.456289795104230261e-02 0.000000000000000000e+00 -1.420303834088103853e-03 6.862524914450072178e-01 0.000000000000000000e+00 -2.677870943256260156e-02 -4.797731155415600052e-05 0.000000000000000000e+00
5.369997000000000043e+01 6.423380360404581380e-01 1.354154147094827629e-03 0.000000000000000000e+00 -7.792887721606590315e-05 3.632303390657262709e-02 0.000000000000000000e+00 -1.516609611284899795e-03 7.403864520337335442e-01 0.000000000000000000e+00 -2.732677890538105780e-02 -4.829568960853867349e-05 0.000000000000000000e+00
5.569995000000000118e+01 7.163985466611282327e-01 1.513089413352040110e-03 0.000000000000000000e+00 -8.085122113597654374e-05 3.766605750940532626e-02 0.000000000000000000e+00 -1.613368716473472138e-03 7.954466684375298691e-01 0.000000000000000000e+00 -2.770732032180336923e-02 -4.844038936997511563e-05 0.000000000000000000e+00
5.669993999999999801e+01 7.543281950897948729e-01 1.594514418444597549e-03 0.000000000000000000e+00 -8.196135321666946506e-05 3.817603120520187548e-02 0.000000000000000000e+00 -1.661825099845911724e-03 8.232239910481183864e-01 0.000000000000000000e+00 -2.784262558715007094e-02 -4.847071842394584396e-05 0.000000000000000000e+00
5.769992999999999483e+01 7.927139454590171885e-01 1.676932401117463148e-03 0.000000000000000000e+00 -8.283736818198218256e-05 3.857835854473183612e-02 0.000000000000000000e+00 -1.710305905410180929e-03 8.511216400097307844e-01 0.000000000000000000e+00 -2.794873624613897906e-02 -4.849104383126357024e-05 0.000000000000000000e+00
5.869991999999999877e+01 8.314489321724852777e-01 1.760110911571824595e-03 0.000000000000000000e+00 -8.348382320280082081e-05 3.887515175468338191e-02 0.000000000000000000e+00 -1.758802643816635269e-03 8.791110329521063527e-01 0.000000000000000000e+00 -2.802537128957384091e-02 -4.850083753837499789e-05 0.000000000000000000e+00
5.919991499999999718e+01 8.509153199027779113e-01 1.801915607095345203e-03 0.000000000000000000e+00 -8.372914552788700683e-05 3.898773667242708824e-02 0.000000000000000000e+00 -1.783052931526967356e-03 8.931307351310121545e-01 0.000000000000000000e+00 -2.805298718903691257e-02 -4.850086528498521700e-05 0.000000000000000000e+00
5.970113999999999521e+01 8.704815325280668148e-01 1.843936325531559187e-03 0.000000000000000000e+00 -8.393810039948422638e-05 3.908361564348816070e-02 0.000000000000000000e+00 -1.807363603744152093e-03 9.071980301608629782e-01 0.000000000000000000e+00 -2.807936215843695113e-02 -4.850681114291944694e-05 0.000000000000000000e+00
6.019990500000000111e+01 8.899959669260876227e-01 1.885847257505708337e-03 0.000000000000000000e+00 -8.411527607986376707e-05 3.916489006394494043e-02 0.000000000000000000e+00 -1.831560338530258819e-03 9.212097079720644732e-01 0.000000000000000000e+00 -2.810505506643304688e-02 -4.851875039898161232e-05 0.000000000000000000e+00
6.069989999999999952e+01 9.095953021786605808e-01 1.927941741056749241e-03 0.000000000000000000e+00 -8.425828401465473611e-05 3.923044863317383391e-02 0.000000000000000000e+00 -1.855821278308568802e-03 9.352671961296202818e-01 0.000000000000000000e+00 -2.812440159957808189e-02 -4.852512373937651339e-05 0.000000000000000000e+00
6.119989499999999794e+01 9.292231452534867042e-01 1.970098434756757493e-03 0.000000000000000000e+00 -8.436374747881153176e-05 3.927875390920964466e-02 0.000000000000000000e+00 -1.880084231746821785e-03 9.493327976142708069e-01 0.000000000000000000e+00 -2.813757287790186884e-02 -4.852705455354769886e-05 0.000000000000000000e+00
6.169988999999999635e+01 9.488707534771836372e-01 2.012298305628704240e-03 0.000000000000000000e+00 -8.443125292695701227e-05 3.930963082864337432e-02 0.000000000000000000e+00 -1.904347404480333586e-03 9.634035649057908213e-01 0.000000000000000000e+00 -2.814521821058507331e-02 -4.852624960018819041e-05 0.000000000000000000e+00
6.219988500000000187e+01 9.685298725554655208e-01 2.054523370141925296e-03 0.000000000000000000e+00 -8.446598514880503345e-05 3.932547004111489053e-02 0.000000000000000000e+00 -1.928609777715032964e-03 9.774770244773928196e-01 0.000000000000000000e+00 -2.814860860324170516e-02 -4.852409348874242123e-05 0.000000000000000000e+00
6.269988000000000028e+01 9.881944397394686330e-01 2.096760424821607176e-03 0.000000000000000000e+00 -8.448316256490278004e-05 3.933320720494910827e-02 0.000000000000000000e+00 -1.952870943152581421e-03 9.915515523190310265e-01 0.000000000000000000e+00 -2.814995032536058220e-02 -4.852073433578255344e-05 0.000000000000000000e+00
6.300000000000000000e+01 1.000000000000000000e+00 2.122117482974324783e-03 0.000000000000000000e+00 -8.449213274733041127e-05 3.933715382708677377e-02 0.000000000000000000e+00 -1.967432001801811166e-03 1.000000000000000000e+00 0.000000000000000000e+00 -2.815032931041271808e-02 -4.851447256860257995e-05 0.000000000000000000e+00
