WS_[m/s]	RotSpeed_[rpm]	BldPitch_[deg]	GenSpeed_[rpm]	GenPower_[kW]	GenTorque_[kN-m]	RtAeroFxh_[kN]	RtAeroMxh_[kN-m]	RotThrust_[kN]	RotTorq_[kN-m]	TTDspFA_[m]	TTDspSS_[m]	RtAeroCp_[-]	RtAeroCt_[-]	RtTSR_[-]
18.5	12.1	15.1979	1173.7023	5000.0115	43.0936	329.58756	4155.9942115	423.088	4184.7814	0.0	0.0	0.1121	0.1286	4.3499
18.75	12.1	15.5233	1173.7041	5000.008	43.0935	325.9527076	4155.9654457999995	419.4531	4184.7738	0.0	0.0	0.1076	0.1238	4.2919
19.0	12.1	15.8445	1173.7036	5000.0096	43.0935	322.45275780000003	4155.9004566	415.9542	4184.7748	0.0	0.0	0.1034	0.1193	4.2354
19.25	12.1	16.162	1173.7033	5000.0111	43.0935	319.2266657	4155.8993912	412.7272	4184.7742	0.0	0.0	0.0995	0.115	4.1804
19.5	12.1	16.4761	1173.7039	5000.013	43.0935	316.1501928	4155.8929988	409.6497	4184.7765	0.0	0.0	0.0957	0.111	4.1268
19.75	12.1	16.7868	1173.7032	5000.0103	43.0935	313.1934793	4155.7932067	406.693	4184.766	0.0	0.0	0.0921	0.1072	4.0746
20.0	12.1	17.0944	1173.7039	5000.0142	43.0935	310.45975500000003	4155.7402919999995	403.9611	4184.7643	0.0	0.0	0.0887	0.1036	4.0237
20.25	12.1	17.3996	1173.7028	5000.0115	43.0936	307.8895136	4155.7271521	401.3937	4184.7712	0.0	0.0	0.0854	0.1003	3.974
20.5	12.1	17.7026	1173.7013	5000.003	43.0935	305.3963212	4155.485307	398.9016	4184.7463	0.0	0.0	0.0823	0.097	3.9256
20.75	12.1	18.0032	1173.6981	5000.0034	43.0937	302.88745240000003	4155.2796854	396.3965	4184.7407	0.0	0.0	0.0794	0.0939	3.8783
21.0	12.1	18.3017	1173.6991	5000.0119	43.0937	300.4023116	4155.2637044	393.9119	4184.7437	0.0	0.0	0.0766	0.091	3.8321
21.25	12.1	18.6072	1173.7013	5000.0038	43.0935	297.8286576	4154.8933014	391.3439	4184.702	0.0	0.0	0.0739	0.0881	3.7871
21.5	12.0999	18.9087	1173.695	5000.005	43.0938	295.3693242	4154.7107634	388.8887	4184.7152	0.0	0.0	0.0714	0.0853	3.7431
21.75	12.0999	19.2042	1173.6868	5000.0023	43.0941	293.1046131	4154.5424307	386.6139	4184.7043	0.0	0.0	0.0689	0.0827	3.7001
22.0	12.1	19.5135	1173.7026	4999.995	43.0934	290.7085187	4154.0019194	384.2034	4184.5548	0.0	0.0	0.0666	0.0802	3.6581
22.25	12.1001	19.8131	1173.7132	4999.9927	43.093	288.48710450000004	4153.8978656	381.9675	4184.4752	0.0	0.0	0.0644	0.0778	3.617
22.5	12.1001	20.1332	1173.7141	4999.9915	43.0929	286.0903168	4154.0459558	379.5446	4184.4407	0.0	0.0	0.0623	0.0755	3.5768
22.75	12.0999	20.4375	1173.6932	4999.9842	43.0937	284.0209213	4154.528225399999	377.4543	4184.5073	0.0	0.0	0.0602	0.0733	3.5374
23.0	12.0997	20.7242	1173.6721	5000.0073	43.0947	282.2926215	4155.5389319000005	375.729	4184.7214	0.0	0.0	0.0583	0.0713	3.4988
23.25	12.0998	21.0313	1173.6833	4999.9719	43.0939	280.288971	4154.798126000001	373.7507	4184.6224	0.0	0.0	0.0564	0.0692	3.4612
23.5	12.1001	21.3294	1173.7068	4999.9792	43.0931	278.3767131	4155.1610712	371.869	4184.6578	0.0	0.0	0.0546	0.0673	3.4244
23.75	12.0997	21.6282	1173.6745	4999.9707	43.0943	276.4690408	4155.6632283	369.9757	4184.8384	0.0	0.0	0.0529	0.0654	3.3883
24.0	12.0999	21.9086	1173.6905	4999.9892	43.0938	274.904277	4155.9626048	368.4158	4184.8463	0.0	0.0	0.0513	0.0637	3.353
24.25	12.0999	22.1889	1173.6886	4999.978	43.0938	273.3025617	4155.5037739	366.8171	4184.7974	0.0	0.0	0.0497	0.0621	3.3184
24.5	12.0997	22.4819	1173.6731	4999.9619	43.0942	271.5697829	4156.078733	365.0624	4184.8492	0.0	0.0	0.0482	0.0604	3.2845
24.75	12.1	22.7749	1173.6965	4999.9711	43.0934	269.78155	4155.9366801	363.2899	4184.8214	0.0	0.0	0.0468	0.0588	3.2514
25.0	12.1003	23.0499	1173.725	5000.0215	43.0928	268.2824247	4156.3344283	361.7803	4184.7948	0.0	0.0	0.0454	0.0573	3.2189
